Temps(s),9 périphériques,17 périphériques,33 périphériques,Sans D2D
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,1
11,0,0,0,1
12,0,0,0,1
13,0,0,0,1
14,0,0,0,1
15,0,0,0,1
16,0,0,0,1
17,0,0,0,1
18,0,0,0,1
19,0,0,0,1
20,0,0,0,2
21,0,0,0,2
22,0,0,0,2
23,0,0,0,2
24,0,0,0,2
25,0,0,0,2
26,0,0,0,2
27,0,0,0,2
28,0,0,0,2
29,0,0,0,2
30,0,0,0,3
31,0,0,0,3
32,0,0,0,3
33,0,0,0,3
34,0,0,0,3
35,0,0,0,3
36,0,0,0,3
37,0,0,0,3
38,0,0,0,3
39,0,0,0,3
40,0,0,0,4
41,0,0,0,4
42,0,0,0,4
43,0,0,0,4
44,0,0,0,4
45,0,0,0,4
46,0,0,0,4
47,0,0,0,4
48,0,0,0,4
49,0,0,0,4
50,0,0,0,5
51,0,0,0,5
52,0,0,0,5
53,0,0,0,5
54,0,0,0,5
55,0,0,0,5
56,0,0,0,5
57,0,0,0,5
58,0,0,0,5
59,0,0,0,5
60,0,0,0,6
61,0,0,0,6
62,0,0,0,6
63,0,0,0,6
64,0,0,0,6
65,0,0,0,6
66,0,0,0,6
67,0,0,0,6
68,0,0,0,6
69,0,0,0,6
70,0,0,0,7
71,0,0,0,7
72,0,0,0,7
73,0,0,0,7
74,0,0,0,7
75,0,0,0,7
76,0,0,0,7
77,0,0,0,7
78,0,0,0,7
79,0,0,0,7
80,0,0,0,8
81,0,0,0,8
82,0,0,0,8
83,0,0,0,8
84,0,0,0,8
85,0,0,0,8
86,0,0,0,8
87,0,0,0,8
88,0,0,0,8
89,0,0,0,8
90,0,0,0,9
91,0,0,0,9
92,0,0,0,9
93,0,0,0,9
94,0,0,0,9
95,0,0,0,9
96,0,0,0,9
97,0,0,0,9
98,0,0,0,9
99,0,0,0,9
100,0,0,0,10
101,0,0,0,10
102,0,0,0,10
103,0,0,0,10
104,0,0,0,10
105,0,0,0,10
106,0,0,0,10
107,0,0,0,10
108,0,0,0,10
109,0,0,0,10
110,0,0,0,11
111,0,0,0,11
112,0,0,0,11
113,0,0,0,11
114,0,0,0,11
115,0,0,0,11
116,0,0,0,11
117,0,0,0,11
118,0,0,0,11
119,0,0,0,11
120,0,0,0,12
121,0,0,0,12
122,0,0,0,12
123,0,0,0,12
124,0,0,0,12
125,0,0,0,12
126,0,0,0,12
127,0,0,0,12
128,0,0,0,12
129,0,0,0,12
130,0,0,0,13
131,0,0,0,13
132,0,0,0,13
133,0,0,0,13
134,0,0,0,13
135,0,0,0,13
136,0,0,0,13
137,0,0,0,13
138,0,0,0,13
139,0,0,0,13
140,0,0,0,14
141,0,0,0,14
142,0,0,0,14
143,0,0,0,14
144,0,0,0,14
145,0,0,0,14
146,0,0,0,14
147,0,0,0,14
148,0,0,0,14
149,0,0,0,14
150,0,0,0,15
151,0,0,0,15
152,0,0,0,15
153,0,0,0,15
154,0,0,0,15
155,0,0,0,15
156,0,0,0,15
157,0,0,0,15
158,0,0,0,15
159,0,0,0,15
160,0,0,0,16
161,0,0,0,16
162,0,0,0,16
163,0,0,0,16
164,0,0,0,16
165,0,0,0,16
166,0,0,0,16
167,0,0,0,16
168,0,0,0,16
169,0,0,1,16
170,0,0,1,17
171,0,0,1,17
172,0,0,1,17
173,0,0,1,17
174,0,0,1,17
175,0,0,1,17
176,0,0,1,17
177,0,0,1,17
178,0,0,1,17
179,0,0,1,17
180,0,0,1,18
181,0,0,1,18
182,0,0,1,18
183,0,0,1,18
184,0,0,1,18
185,1,0,1,18
186,1,0,1,18
187,1,0,1,18
188,1,0,1,18
189,1,0,1,18
190,1,0,1,19
191,1,0,1,19
192,1,0,1,19
193,1,0,1,19
194,1,0,2,19
195,1,0,2,19
196,1,0,2,19
197,2,0,2,19
198,2,0,2,19
199,2,0,3,19
200,2,0,3,20
201,2,0,3,20
202,2,0,3,20
203,2,0,3,20
204,2,0,3,20
205,2,0,3,20
206,2,0,3,20
207,2,0,3,20
208,2,0,3,20
209,2,0,3,20
210,2,0,3,21
211,2,0,3,21
212,2,0,3,21
213,2,0,3,21
214,2,0,3,21
215,2,0,3,21
216,2,0,3,21
217,2,0,3,21
218,2,0,3,21
219,2,0,3,21
220,2,0,4,22
221,2,0,4,22
222,2,0,4,22
223,2,0,4,22
224,2,0,5,22
225,2,0,5,22
226,2,0,6,22
227,2,0,6,22
228,2,0,7,22
229,2,0,7,22
230,2,0,8,23
231,2,0,8,23
232,2,0,8,23
233,2,0,8,23
234,2,0,8,23
235,2,0,8,23
236,2,0,8,23
237,2,0,8,23
238,2,0,8,23
239,2,0,8,23
240,2,0,8,24
241,2,0,9,24
242,2,0,10,24
243,2,0,10,24
244,2,0,10,24
245,2,0,10,24
246,2,0,11,24
247,2,0,11,24
248,2,0,11,24
249,2,0,11,24
250,2,0,11,25
251,2,0,12,25
252,2,0,13,25
253,2,0,14,25
254,2,1,14,25
255,2,1,14,25
256,2,1,14,25
257,2,1,14,25
258,2,1,14,25
259,2,1,15,25
260,2,1,16,26
261,2,1,17,26
262,2,1,17,26
263,2,1,18,26
264,2,1,19,26
265,2,1,20,26
266,2,1,20,26
267,2,1,21,26
268,2,1,21,26
269,2,1,21,26
270,2,2,21,27
271,2,3,21,27
272,2,3,21,27
273,2,3,21,27
274,2,3,21,27
275,2,3,21,27
276,2,3,21,27
277,2,3,22,27
278,2,3,22,27
279,2,3,22,27
280,2,3,22,28
281,2,3,22,28
282,2,3,22,28
283,2,3,22,28
284,2,3,22,28
285,2,3,23,28
286,2,3,23,28
287,2,3,23,28
288,2,4,25,28
289,2,4,26,28
290,2,4,26,29
291,2,4,26,29
292,2,4,28,29
293,2,4,28,29
294,2,4,28,29
295,2,4,28,29
296,2,4,28,29
297,2,4,28,29
298,2,4,29,29
299,2,4,30,29
300,2,5,30,30
301,2,5,31,30
302,2,5,31,30
303,2,5,31,30
304,2,5,31,30
305,2,5,31,30
306,2,5,32,30
307,2,5,32,30
308,2,5,32,30
309,2,6,32,30
310,2,6,32,31
311,2,6,32,31
312,2,6,32,31
313,2,6,32,31
314,2,6,33,31
315,2,6,33,31
316,2,6,33,31
317,2,6,33,31
318,3,6,33,31
319,3,6,34,31
320,3,7,35,32
321,3,7,35,32
322,4,7,36,32
323,4,8,37,32
324,5,8,37,32
325,5,8,37,32
326,5,8,38,32
327,5,8,39,32
328,5,9,41,32
329,5,9,43,32
330,5,10,43,33
331,5,10,43,33
332,5,10,43,33
333,5,10,44,33
334,5,10,44,33
335,5,11,44,33
336,6,11,44,33
337,6,11,44,33
338,6,11,45,33
339,6,11,46,33
340,7,11,47,34
341,7,11,47,34
342,7,12,48,34
343,7,12,51,34
344,8,12,51,34
345,8,13,51,34
346,8,13,51,34
347,8,13,52,34
348,8,13,53,34
349,8,15,55,34
350,8,15,55,35
351,8,16,55,35
352,8,16,56,35
353,8,16,56,35
354,8,16,57,35
355,8,16,59,35
356,8,16,59,35
357,8,17,60,35
358,8,17,60,35
359,8,17,60,35
360,8,17,61,36
361,8,17,62,36
362,8,18,62,36
363,8,18,62,36
364,9,18,64,36
365,9,18,65,36
366,9,18,67,36
367,9,18,68,36
368,9,18,69,36
369,10,19,71,36
370,10,20,71,37
371,10,20,73,37
372,10,20,73,37
373,10,20,73,37
374,10,22,73,37
375,10,23,74,37
376,10,24,74,37
377,10,24,74,37
378,10,24,74,37
379,10,24,74,37
380,10,24,74,38
381,10,25,74,38
382,10,25,74,38
383,10,25,75,38
384,10,26,75,38
385,10,26,75,38
386,11,26,77,38
387,11,27,79,38
388,11,29,79,38
389,11,29,79,38
390,11,29,82,39
391,11,30,82,39
392,12,30,82,39
393,12,30,82,39
394,13,30,82,39
395,13,30,82,39
396,13,30,82,39
397,13,30,83,39
398,13,30,84,39
399,13,30,85,39
400,13,30,85,40
401,13,30,86,40
402,13,30,86,40
403,13,30,86,40
404,13,30,88,40
405,13,30,91,40
406,13,30,91,40
407,13,30,91,40
408,13,30,91,40
409,13,30,92,40
410,13,30,92,41
411,13,30,93,41
412,13,31,94,41
413,13,31,94,41
414,13,31,94,41
415,13,32,94,41
416,13,33,95,41
417,13,33,95,41
418,13,33,96,41
419,13,34,96,41
420,13,34,96,42
421,14,34,96,42
422,14,34,96,42
423,14,34,99,42
