Temps(s),EDWiN + Clustering,EDWiN,Sans D2D
665,95,100,66
666,95,100,66
667,95,100,66
668,96,100,66
669,96,100,66
670,96,100,67
671,96,100,67
672,97,100,67
673,97,100,67
674,97,100,67
675,98,100,67
676,98,100,67
677,98,100,67
678,99,100,67
679,99,100,67
680,99,100,68
681,100,100,68
682,100,100,68
683,100,100,68
684,100,100,68
685,100,100,68
686,100,100,68
687,100,100,68
688,100,100,68
689,100,100,68
690,100,100,69
691,100,100,69
692,100,100,69
693,100,100,69
694,100,100,69
695,100,100,69
696,100,100,69
697,100,100,69
698,100,100,69
699,100,100,69
700,100,100,70
701,100,100,70
702,100,100,70
703,100,100,70
704,100,100,70
705,100,100,70
706,100,100,70
707,100,100,70
708,100,100,70
709,100,100,70
710,100,100,71
711,100,100,71
712,100,100,71
713,100,100,71
714,100,100,71
715,100,100,71
716,100,100,71
717,100,100,71
718,100,100,71
719,100,100,71
720,100,100,72
721,100,100,72
722,100,100,72
723,100,100,72
724,100,100,72
725,100,100,72
726,100,100,72
727,100,100,72
728,100,100,72
729,100,100,72
730,100,100,73
731,100,100,73
732,100,100,73
733,100,100,73
734,100,100,73
735,100,100,73
736,100,100,73
737,100,100,73
738,100,100,73
739,100,100,73
740,100,100,74
741,100,100,74
742,100,100,74
743,100,100,74
744,100,100,74
745,100,100,74
746,100,100,74
747,100,100,74
748,100,100,74
749,100,100,74
750,100,100,75
751,100,100,75
752,100,100,75
753,100,100,75
754,100,100,75
755,100,100,75
756,100,100,75
757,100,100,75
758,100,100,75
759,100,100,75
760,100,100,76
761,100,100,76
762,100,100,76
763,100,100,76
764,100,100,76
765,100,100,76
766,100,100,76
767,100,100,76
768,100,100,76
769,100,100,76
770,100,100,77
771,100,100,77
772,100,100,77
773,100,100,77
774,100,100,77
775,100,100,77
776,100,100,77
777,100,100,77
778,100,100,77
779,100,100,77
780,100,100,78
781,100,100,78
782,100,100,78
783,100,100,78
784,100,100,78
785,100,100,78
786,100,100,78
787,100,100,78
788,100,100,78
789,100,100,78
790,100,100,79
791,100,100,79
792,100,100,79
793,100,100,79
794,100,100,79
795,100,100,79
796,100,100,79
797,100,100,79
798,100,100,79
799,100,100,79
800,100,100,80
801,100,100,80
802,100,100,80
803,100,100,80
804,100,100,80
805,100,100,80
806,100,100,80
807,100,100,80
808,100,100,80
809,100,100,80
810,100,100,81
811,100,100,81
812,100,100,81
813,100,100,81
814,100,100,81
815,100,100,81
816,100,100,81
817,100,100,81
818,100,100,81
819,100,100,81
820,100,100,82
821,100,100,82
822,100,100,82
823,100,100,82
824,100,100,82
825,100,100,82
826,100,100,82
827,100,100,82
828,100,100,82
829,100,100,82
830,100,100,83
831,100,100,83
832,100,100,83
833,100,100,83
834,100,100,83
835,100,100,83
836,100,100,83
837,100,100,83
838,100,100,83
839,100,100,83
840,100,100,84
841,100,100,84
842,100,100,84
843,100,100,84
844,100,100,84
845,100,100,84
846,100,100,84
847,100,100,84
848,100,100,84
849,100,100,84
850,100,100,85
851,100,100,85
852,100,100,85
853,100,100,85
854,100,100,85
855,100,100,85
856,100,100,85
857,100,100,85
858,100,100,85
859,100,100,85
860,100,100,86
861,100,100,86
862,100,100,86
863,100,100,86
864,100,100,86
865,100,100,86
866,100,100,86
867,100,100,86
868,100,100,86
869,100,100,86
870,100,100,87
871,100,100,87
872,100,100,87
873,100,100,87
874,100,100,87
875,100,100,87
876,100,100,87
877,100,100,87
878,100,100,87
879,100,100,87
880,100,100,88
881,100,100,88
882,100,100,88
883,100,100,88
884,100,100,88
885,100,100,88
886,100,100,88
887,100,100,88
888,100,100,88
889,100,100,88
890,100,100,89
891,100,100,89
892,100,100,89
893,100,100,89
894,100,100,89
895,100,100,89
896,100,100,89
897,100,100,89
898,100,100,89
899,100,100,89
900,100,100,90
901,100,100,90
902,100,100,90
903,100,100,90
904,100,100,90
905,100,100,90
906,100,100,90
907,100,100,90
908,100,100,90
909,100,100,90
910,100,100,91
911,100,100,91
912,100,100,91
913,100,100,91
914,100,100,91
915,100,100,91
916,100,100,91
917,100,100,91
918,100,100,91
919,100,100,91
920,100,100,92
921,100,100,92
922,100,100,92
923,100,100,92
924,100,100,92
925,100,100,92
926,100,100,92
927,100,100,92
928,100,100,92
929,100,100,92
930,100,100,93
931,100,100,93
932,100,100,93
933,100,100,93
934,100,100,93
935,100,100,93
936,100,100,93
937,100,100,93
938,100,100,93
939,100,100,93
940,100,100,94
941,100,100,94
942,100,100,94
943,100,100,94
944,100,100,94
945,100,100,94
946,100,100,94
947,100,100,94
948,100,100,94
949,100,100,94
950,100,100,95
951,100,100,95
952,100,100,95
953,100,100,95
954,100,100,95
955,100,100,95
956,100,100,95
957,100,100,95
958,100,100,95
959,100,100,95
960,100,100,96
961,100,100,96
962,100,100,96
963,100,100,96
964,100,100,96
965,100,100,96
966,100,100,96
967,100,100,96
968,100,100,96
969,100,100,96
970,100,100,97
971,100,100,97
972,100,100,97
973,100,100,97
974,100,100,97
975,100,100,97
976,100,100,97
977,100,100,97
978,100,100,97
979,100,100,97
980,100,100,98
981,100,100,98
982,100,100,98
983,100,100,98
984,100,100,98
985,100,100,98
986,100,100,98
987,100,100,98
988,100,100,98
989,100,100,98
990,100,100,99
991,100,100,99
992,100,100,99
993,100,100,99
994,100,100,99
995,100,100,99
996,100,100,99
997,100,100,99
998,100,100,99
999,100,100,99
1000,100,100,100
