Taille des chunks (MB),EDWiN,Sans D2D
0.5,827,1000
1,664,1000
2,524,1000
2.5,489,1000
5,421,1000
6.5,403,1000
10,380,1000
25,398,1000
50,466,1000
100,577,1000
