MaxAP,EDWiN,Sans D2D
1,440.1,1000
2,456.85,1000
3,459.7,1000
4,484.55,1000
5,480.6,1000
6,530.55,1000
7,531.8,1000
8,552.95,1000
9,565.25,1000
10,571.75,1000
