Time(s),ChunksFromAp,ChunksFromDevices,GoodActive,BadActive,Active
230,38,252,22,11,33
231,38,252,22,11,33
232,38,254,21,12,33
233,38,257,21,12,33
234,38,257,20,13,33
235,38,257,20,13,33
236,38,261,19,14,33
237,38,261,19,14,33
238,38,270,18,15,33
239,38,270,18,15,33
240,38,270,18,15,33
241,48,270,19,14,33
242,48,270,19,14,33
243,48,270,19,14,33
244,48,270,19,14,33
245,48,270,19,14,33
246,49,270,19,14,33
247,49,270,19,14,33
248,49,270,19,14,33
249,49,270,19,14,33
250,49,270,19,14,33
251,50,270,19,14,33
252,50,270,19,14,33
253,50,270,19,14,33
254,50,270,19,14,33
255,50,270,19,14,33
256,51,270,19,14,33
257,51,270,19,14,33
258,51,270,19,14,33
259,51,270,19,14,33
260,51,275,19,14,33
261,52,275,19,14,33
262,52,275,19,14,33
263,52,285,19,14,33
264,52,285,19,14,33
265,52,285,19,14,33
266,53,285,19,14,33
267,53,285,19,14,33
268,53,285,19,14,33
269,53,290,19,14,33
270,53,290,19,14,33
271,54,290,19,14,33
272,54,290,19,14,33
273,54,290,19,14,33
274,54,295,19,14,33
275,54,295,19,14,33
276,55,295,19,14,33
277,55,300,19,14,33
278,55,300,19,14,33
279,55,300,19,14,33
280,55,300,19,14,33
281,56,310,19,14,33
282,56,310,19,14,33
283,56,310,19,14,33
284,56,310,19,14,33
285,56,310,19,14,33
286,57,310,19,14,33
287,57,310,19,14,33
288,57,310,19,14,33
289,57,315,19,14,33
290,57,315,19,14,33
291,58,315,19,14,33
292,58,320,19,14,33
293,58,320,19,14,33
294,58,320,19,14,33
295,58,320,19,14,33
296,59,320,19,14,33
297,59,328,18,15,33
298,59,333,18,15,33
299,59,333,18,15,33
300,59,333,18,15,33
301,60,338,18,15,33
302,60,343,18,15,33
303,60,343,18,15,33
304,60,343,18,15,33
305,60,343,18,15,33
306,61,343,18,15,33
307,61,343,18,15,33
308,61,343,18,15,33
309,61,343,18,15,33
310,61,343,18,15,33
311,62,343,18,15,33
312,62,343,18,15,33
313,62,343,18,15,33
314,62,343,18,15,33
315,62,343,18,15,33
316,63,343,17,16,33
317,63,343,17,16,33
318,63,343,17,16,33
319,63,343,17,16,33
320,63,343,17,16,33
321,63,343,17,16,33
322,63,343,17,16,33
323,63,343,17,16,33
324,63,343,17,16,33
325,63,348,17,16,33
326,63,348,17,16,33
327,63,348,17,16,33
328,63,358,17,16,33
329,63,358,17,16,33
330,63,358,17,16,33
331,63,358,17,16,33
332,63,358,17,16,33
333,63,363,17,16,33
334,63,363,17,16,33
335,63,363,17,16,33
336,63,363,17,16,33
337,63,363,17,16,33
338,63,363,17,16,33
339,63,363,17,16,33
340,63,368,17,16,33
341,63,368,17,16,33
342,63,373,17,16,33
343,63,373,17,16,33
344,63,373,17,16,33
345,63,373,17,16,33
346,63,376,16,17,33
347,63,381,16,17,33
348,63,386,16,17,33
349,63,386,16,17,33
350,63,386,16,17,33
351,63,386,16,17,33
352,63,386,16,17,33
353,63,391,16,17,33
354,63,391,16,17,33
355,63,391,16,17,33
356,63,391,16,17,33
357,63,396,16,17,33
358,63,396,16,17,33
359,63,396,16,17,33
360,63,406,16,17,33
361,63,406,16,17,33
362,63,406,16,17,33
363,63,411,16,17,33
364,63,411,16,17,33
365,63,411,16,17,33
366,73,416,16,17,33
367,73,416,16,17,33
368,73,421,16,17,33
369,73,421,16,17,33
370,73,421,16,17,33
371,73,421,16,17,33
372,73,421,16,17,33
373,73,421,16,17,33
374,73,421,16,17,33
375,73,421,16,17,33
376,73,421,16,17,33
377,73,421,16,17,33
378,73,421,16,17,33
379,73,421,16,17,33
380,73,421,16,17,33
381,73,421,16,17,33
382,73,421,16,17,33
383,73,421,16,17,33
384,73,421,16,17,33
385,73,421,16,17,33
386,73,421,16,17,33
387,73,421,16,17,33
388,73,421,16,17,33
389,73,421,16,17,33
390,73,421,16,17,33
391,73,421,16,17,33
392,73,426,16,17,33
393,73,426,16,17,33
394,73,426,16,17,33
395,73,436,16,17,33
396,73,436,16,17,33
397,73,436,16,17,33
398,73,441,16,17,33
399,73,441,16,17,33
400,73,441,16,17,33
401,73,441,16,17,33
402,73,441,16,17,33
403,73,441,16,17,33
404,73,446,16,17,33
405,73,446,16,17,33
406,73,446,16,17,33
407,73,451,16,17,33
408,73,451,16,17,33
409,73,456,16,17,33
410,73,456,16,17,33
411,73,461,16,17,33
412,73,466,16,17,33
413,73,466,16,17,33
414,73,466,16,17,33
415,73,466,16,17,33
416,83,466,16,17,33
417,83,466,16,17,33
418,83,466,16,17,33
419,83,471,16,17,33
420,83,471,16,17,33
421,83,476,16,17,33
422,83,476,16,17,33
423,83,481,16,17,33
424,83,481,16,17,33
425,83,486,16,17,33
426,83,486,16,17,33
427,83,491,16,17,33
428,83,491,16,17,33
429,83,491,16,17,33
430,83,491,16,17,33
431,83,491,16,17,33
432,83,496,16,17,33
433,83,501,16,17,33
434,83,501,16,17,33
435,83,501,16,17,33
436,83,501,16,17,33
437,83,501,16,17,33
438,83,501,16,17,33
439,83,501,16,17,33
440,83,501,16,17,33
441,83,501,16,17,33
442,83,501,16,17,33
443,83,501,16,17,33
444,83,501,16,17,33
445,83,501,16,17,33
446,83,501,16,17,33
447,83,501,16,17,33
448,83,501,16,17,33
449,83,501,16,17,33
450,83,501,16,17,33
451,83,501,16,17,33
452,83,501,16,17,33
453,83,501,16,17,33
454,83,501,16,17,33
455,83,501,16,17,33
456,83,501,16,17,33
457,83,501,16,17,33
458,83,506,16,17,33
459,83,511,16,17,33
460,83,511,16,17,33
461,83,516,16,17,33
462,83,521,16,17,33
463,83,521,16,17,33
464,83,521,16,17,33
465,83,521,16,17,33
466,93,521,17,16,33
467,93,526,17,16,33
468,93,526,17,16,33
469,93,526,17,16,33
470,93,531,17,16,33
471,94,531,17,16,33
472,94,531,17,16,33
473,94,536,17,16,33
474,94,536,17,16,33
475,94,536,17,16,33
