Time(s),Completed Nodes,GoodCompleted,BadCompleted
224,0.04,0.04,NaN
225,0.04,0.04,NaN
225,0.05,0.05,NaN
226,0.05,0.05,NaN
227,0.05,0.05,NaN
227,0.06,0.06,NaN
228,0.06,0.06,NaN
229,0.06,0.06,NaN
229,0.07,0.07,NaN
230,0.07,0.07,NaN
231,0.07,0.07,NaN
231,0.08,0.08,NaN
232,0.08,0.08,NaN
233,0.08,0.08,NaN
234,0.08,0.08,NaN
235,0.08,0.08,NaN
236,0.08,0.08,NaN
237,0.08,0.08,NaN
238,0.08,0.08,NaN
239,0.08,0.08,NaN
240,0.08,0.08,NaN
241,0.08,0.08,NaN
242,0.08,0.08,NaN
242,0.09,0.09,NaN
243,0.09,0.09,NaN
243,0.1,0.1,NaN
244,0.1,0.1,NaN
245,0.1,0.1,NaN
246,0.1,0.1,NaN
247,0.1,0.1,NaN
247,0.11,0.11,NaN
248,0.11,0.11,NaN
249,0.11,0.11,NaN
250,0.11,0.11,NaN
251,0.11,0.11,NaN
252,0.11,0.11,NaN
252,0.12,0.12,NaN
253,0.12,0.12,NaN
253,0.13,0.13,NaN
254,0.13,0.13,NaN
254,0.14,0.14,NaN
255,0.14,0.14,NaN
256,0.14,0.14,NaN
257,0.14,0.14,NaN
258,0.14,0.14,NaN
259,0.14,0.14,NaN
260,0.14,0.14,NaN
260,0.15,0.15,NaN
261,0.15,0.15,NaN
261,0.16,0.16,NaN
262,0.16,0.16,NaN
262,0.17,0.17,NaN
263,0.17,0.17,NaN
264,0.17,0.17,NaN
264,0.18,0.18,NaN
265,0.18,0.18,NaN
265,0.19,0.19,NaN
266,0.19,0.19,NaN
266,0.2,0.2,NaN
267,0.2,0.2,NaN
268,0.2,0.2,NaN
268,0.21,0.21,NaN
269,0.21,0.21,NaN
270,0.21,0.21,NaN
271,0.21,0.21,NaN
272,0.21,0.21,NaN
273,0.21,0.21,NaN
274,0.21,0.21,NaN
275,0.21,0.21,NaN
276,0.21,0.21,NaN
277,0.21,0.21,NaN
278,0.21,0.21,NaN
278,0.22,0.22,NaN
279,0.22,0.22,NaN
280,0.22,0.22,NaN
281,0.22,0.22,NaN
282,0.22,0.22,NaN
283,0.22,0.22,NaN
284,0.22,0.22,NaN
285,0.22,0.22,NaN
286,0.22,0.22,NaN
286,0.23,0.23,NaN
287,0.23,0.23,NaN
288,0.23,0.23,NaN
289,0.23,0.23,NaN
289,0.24,0.24,NaN
289,0.25,0.25,NaN
290,0.25,0.25,NaN
290,0.26,0.26,NaN
291,0.26,0.26,NaN
292,0.26,0.26,NaN
293,0.26,0.26,NaN
293,0.27,0.27,NaN
293,0.28,0.28,NaN
294,0.28,0.28,NaN
295,0.28,0.28,NaN
296,0.28,0.28,NaN
297,0.28,0.28,NaN
298,0.28,0.28,NaN
299,0.28,0.28,NaN
299,0.29,0.29,NaN
300,0.29,0.29,NaN
300,0.3,0.3,NaN
301,0.3,0.3,NaN
302,0.3,0.3,NaN
302,0.31,0.31,NaN
303,0.31,0.31,NaN
304,0.31,0.31,NaN
305,0.31,0.31,NaN
306,0.31,0.31,NaN
307,0.31,0.31,NaN
307,0.32,0.32,NaN
308,0.32,0.32,NaN
309,0.32,0.32,NaN
310,0.32,0.32,NaN
311,0.32,0.32,NaN
312,0.32,0.32,NaN
313,0.32,0.32,NaN
314,0.32,0.32,NaN
315,0.32,0.32,NaN
315,0.33,0.33,NaN
316,0.33,0.33,NaN
317,0.33,0.33,NaN
318,0.33,0.33,NaN
319,0.33,0.33,NaN
320,0.33,0.33,NaN
320,0.34,0.34,NaN
321,0.34,0.34,NaN
321,0.35,0.35,NaN
322,0.35,0.35,NaN
323,0.35,0.35,NaN
323,0.36,0.36,NaN
324,0.36,0.36,NaN
324,0.37,0.37,NaN
325,0.37,0.37,NaN
326,0.37,0.37,NaN
327,0.37,0.37,NaN
327,0.38,0.38,NaN
328,0.38,0.38,NaN
328,0.39,0.39,NaN
329,0.39,0.39,NaN
329,0.4,0.4,NaN
329,0.41,0.41,NaN
330,0.41,0.41,NaN
330,0.42,0.42,NaN
330,0.43,0.43,NaN
331,0.43,0.43,NaN
332,0.43,0.43,NaN
333,0.43,0.43,NaN
334,0.43,0.43,NaN
334,0.44,0.44,NaN
335,0.44,0.44,NaN
336,0.44,0.44,NaN
337,0.44,0.44,NaN
338,0.44,0.44,NaN
339,0.44,0.44,NaN
339,0.45,0.45,NaN
340,0.45,0.45,NaN
340,0.46,0.46,NaN
341,0.46,0.46,NaN
341,0.47,0.47,NaN
342,0.47,0.47,NaN
343,0.47,0.47,NaN
343,0.48,0.48,NaN
344,0.48,0.48,NaN
344,0.49,0.49,NaN
344,0.5,0.5,NaN
344,0.51,0.51,NaN
345,0.51,0.51,NaN
346,0.51,0.51,NaN
347,0.51,0.51,NaN
348,0.51,0.51,NaN
348,0.52,0.52,NaN
349,0.52,0.52,NaN
349,0.53,0.53,NaN
350,0.53,0.53,NaN
350,0.54,0.54,NaN
350,0.55,0.55,NaN
351,0.55,0.55,NaN
352,0.55,0.55,NaN
353,0.55,0.55,NaN
353,0.56,0.56,NaN
354,0.56,0.56,NaN
355,0.56,0.56,NaN
355,0.57,0.57,NaN
356,0.57,0.57,NaN
356,0.58,0.58,NaN
356,0.59,0.59,NaN
357,0.59,0.59,NaN
358,0.59,0.59,NaN
358,0.6,0.6,NaN
359,0.6,0.6,NaN
360,0.6,0.6,NaN
361,0.6,0.6,NaN
361,0.61,0.61,NaN
362,0.61,0.61,NaN
362,0.62,0.62,NaN
363,0.62,0.62,NaN
364,0.62,0.62,NaN
365,0.62,0.62,NaN
365,0.63,0.63,NaN
365,0.64,0.64,NaN
366,0.64,0.64,NaN
366,0.65,0.65,NaN
367,0.65,0.65,NaN
367,0.66,0.66,NaN
367,0.67,0.67,NaN
368,0.67,0.67,NaN
368,0.68,0.68,NaN
369,0.68,0.68,NaN
369,0.69,0.69,NaN
370,0.69,0.69,NaN
370,0.7,0.7,NaN
370,0.71,0.71,NaN
371,0.71,0.71,NaN
372,0.71,0.71,NaN
372,0.72,0.72,NaN
372,0.73,0.73,NaN
373,0.73,0.73,NaN
374,0.73,0.73,NaN
375,0.73,0.73,NaN
376,0.73,0.73,NaN
376,0.74,0.74,NaN
377,0.74,0.74,NaN
378,0.74,0.74,NaN
379,0.74,0.74,NaN
380,0.74,0.74,NaN
381,0.74,0.74,NaN
382,0.74,0.74,NaN
383,0.74,0.74,NaN
384,0.74,0.74,NaN
384,0.75,0.75,NaN
385,0.75,0.75,NaN
386,0.75,0.75,NaN
387,0.75,0.75,NaN
387,0.76,0.76,NaN
387,0.77,0.77,NaN
388,0.77,0.77,NaN
388,0.78,0.78,NaN
388,0.79,0.79,NaN
389,0.79,0.79,NaN
390,0.79,0.79,NaN
391,0.79,0.79,NaN
391,0.8,0.8,NaN
391,0.81,0.81,NaN
391,0.82,0.82,NaN
392,0.82,0.82,NaN
393,0.82,0.82,NaN
394,0.82,0.82,NaN
395,0.82,0.82,NaN
396,0.82,0.82,NaN
397,0.82,0.82,NaN
398,0.82,0.82,NaN
398,0.83,0.83,NaN
399,0.83,0.83,NaN
399,0.84,0.84,NaN
400,0.84,0.84,NaN
400,0.85,0.85,NaN
401,0.85,0.85,NaN
402,0.85,0.85,NaN
402,0.86,0.86,NaN
403,0.86,0.86,NaN
404,0.86,0.86,NaN
405,0.86,0.86,NaN
405,0.87,0.87,NaN
405,0.88,0.88,NaN
406,0.88,0.88,NaN
406,0.89,0.89,NaN
406,0.9,0.9,NaN
406,0.91,0.91,NaN
407,0.91,0.91,NaN
408,0.91,0.91,NaN
409,0.91,0.91,NaN
410,0.91,0.91,NaN
410,0.92,0.92,NaN
411,0.92,0.92,NaN
412,0.92,0.92,NaN
412,0.93,0.93,NaN
413,0.93,0.93,NaN
413,0.94,0.94,NaN
414,0.94,0.94,NaN
415,0.94,0.94,NaN
416,0.94,0.94,NaN
417,0.94,0.94,NaN
417,0.95,0.95,NaN
418,0.95,0.95,NaN
419,0.95,0.95,NaN
419,0.96,0.96,NaN
420,0.96,0.96,NaN
421,0.96,0.96,NaN
422,0.96,0.96,NaN
423,0.96,0.96,NaN
424,0.96,0.96,NaN
424,0.97,0.97,NaN
424,0.98,0.98,NaN
424,0.99,0.99,NaN
425,0.99,0.99,NaN
425,1.0,1.0,NaN
425,1.0,1.0,NaN
