BadDevices,homogene,Batt,Batt + Bw 2
0.0,4510.0,4510.6,3537.2
10.0,4510.0,4510.6,4034.2
20.0,4510.0,4510.6,4661.8
30.0,4510.0,4510.6,5328.6
40.0,4510.0,4673.4,5959.0
