,9 nœuds,17 nœuds,33 nœuds,65 nœuds,Wi-Fi seulement
0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.01
11,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
12,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
13,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
14,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
15,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
16,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
17,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
18,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
19,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.01
20,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.02
21,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.02
22,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
23,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
24,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
25,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
26,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
27,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
28,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
29,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.02
30,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.03
31,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.03
32,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.019999999999999997,0.03
33,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.03
34,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.03
35,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.03
36,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.03
37,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.03
38,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.03
39,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.03
40,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.04
41,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.04
42,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.04
43,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.030000000000000006,0.04
44,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.04
45,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.04
46,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.04
47,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.04
48,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.04
49,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.04
50,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.05
51,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.05
52,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.05
53,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.05
54,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.05
55,0.05,0.05,0.05,0.05,0.05
56,0.05,0.05,0.05,0.05,0.05
57,0.05,0.05,0.05,0.05,0.05
58,0.05,0.05,0.05,0.05,0.05
59,0.05,0.05,0.05,0.05,0.05
60,0.05,0.05,0.05,0.05,0.06
61,0.05,0.05,0.05,0.05,0.06
62,0.05,0.05,0.05,0.05,0.06
63,0.05,0.05,0.05,0.05,0.06
64,0.05,0.05,0.05,0.05,0.06
65,0.05,0.05,0.05,0.05,0.06
66,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06
67,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06
68,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06
69,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06
70,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.07
71,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.07
72,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.07
73,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.07
74,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.07
75,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.06000000000000001,0.07
