MaxAP,MaxChunks,Completion time
1,10.0,2006.05
2,10.0,2152.95
3,10.0,2197.45
4,10.0,2304.95
5,10.0,2384.9
6,10.0,2585.4
7,10.0,2500.95
8,10.0,2655.15
9,10.0,2743.25
10,10.0,2792.05
