Time(s),Completed Nodes,GoodCompleted,BadCompleted
0,0.0,0.0,NaN
1,0.0,0.0,NaN
2,0.0,0.0,NaN
3,0.0,0.0,NaN
4,0.0,0.0,NaN
5,0.0,0.0,NaN
6,0.0,0.0,NaN
7,0.0,0.0,NaN
8,0.0,0.0,NaN
9,0.0,0.0,NaN
10,0.0,0.0,NaN
11,0.0,0.0,NaN
12,0.0,0.0,NaN
13,0.0,0.0,NaN
14,0.0,0.0,NaN
15,0.0,0.0,NaN
16,0.0,0.0,NaN
17,0.0,0.0,NaN
18,0.0,0.0,NaN
19,0.0,0.0,NaN
20,0.0,0.0,NaN
21,0.0,0.0,NaN
22,0.0,0.0,NaN
23,0.0,0.0,NaN
24,0.0,0.0,NaN
25,0.0,0.0,NaN
26,0.0,0.0,NaN
27,0.0,0.0,NaN
28,0.0,0.0,NaN
29,0.0,0.0,NaN
30,0.0,0.0,NaN
31,0.0,0.0,NaN
32,0.0,0.0,NaN
33,0.0,0.0,NaN
34,0.0,0.0,NaN
35,0.0,0.0,NaN
36,0.0,0.0,NaN
37,0.0,0.0,NaN
38,0.0,0.0,NaN
39,0.0,0.0,NaN
40,0.0,0.0,NaN
41,0.0,0.0,NaN
42,0.0,0.0,NaN
43,0.0,0.0,NaN
44,0.0,0.0,NaN
45,0.0,0.0,NaN
46,0.0,0.0,NaN
47,0.0,0.0,NaN
48,0.0,0.0,NaN
49,0.0,0.0,NaN
50,0.0,0.0,NaN
51,0.0,0.0,NaN
52,0.0,0.0,NaN
53,0.0,0.0,NaN
54,0.0,0.0,NaN
55,0.0,0.0,NaN
56,0.0,0.0,NaN
57,0.0,0.0,NaN
58,0.0,0.0,NaN
59,0.0,0.0,NaN
60,0.0,0.0,NaN
61,0.0,0.0,NaN
62,0.0,0.0,NaN
63,0.0,0.0,NaN
64,0.0,0.0,NaN
65,0.0,0.0,NaN
66,0.0,0.0,NaN
67,0.0,0.0,NaN
68,0.0,0.0,NaN
69,0.0,0.0,NaN
70,0.0,0.0,NaN
71,0.0,0.0,NaN
72,0.0,0.0,NaN
73,0.0,0.0,NaN
74,0.0,0.0,NaN
75,0.0,0.0,NaN
76,0.0,0.0,NaN
77,0.0,0.0,NaN
78,0.0,0.0,NaN
79,0.0,0.0,NaN
80,0.0,0.0,NaN
81,0.0,0.0,NaN
82,0.0,0.0,NaN
83,0.0,0.0,NaN
84,0.0,0.0,NaN
85,0.0,0.0,NaN
86,0.0,0.0,NaN
87,0.0,0.0,NaN
88,0.0,0.0,NaN
89,0.0,0.0,NaN
90,0.0,0.0,NaN
91,0.0,0.0,NaN
92,0.0,0.0,NaN
93,0.0,0.0,NaN
94,0.0,0.0,NaN
95,0.0,0.0,NaN
96,0.0,0.0,NaN
97,0.0,0.0,NaN
98,0.0,0.0,NaN
99,0.0,0.0,NaN
100,0.0,0.0,NaN
101,0.0,0.0,NaN
102,0.0,0.0,NaN
103,0.0,0.0,NaN
104,0.0,0.0,NaN
105,0.0,0.0,NaN
106,0.0,0.0,NaN
107,0.0,0.0,NaN
108,0.0,0.0,NaN
109,0.0,0.0,NaN
110,0.0,0.0,NaN
111,0.0,0.0,NaN
112,0.0,0.0,NaN
113,0.0,0.0,NaN
114,0.0,0.0,NaN
115,0.0,0.0,NaN
116,0.0,0.0,NaN
117,0.0,0.0,NaN
118,0.0,0.0,NaN
119,0.0,0.0,NaN
120,0.0,0.0,NaN
121,0.0,0.0,NaN
122,0.0,0.0,NaN
123,0.0,0.0,NaN
124,0.0,0.0,NaN
125,0.0,0.0,NaN
126,0.0,0.0,NaN
127,0.0,0.0,NaN
128,0.0,0.0,NaN
129,0.0,0.0,NaN
130,0.0,0.0,NaN
131,0.0,0.0,NaN
132,0.0,0.0,NaN
133,0.0,0.0,NaN
134,0.0,0.0,NaN
135,0.0,0.0,NaN
136,0.0,0.0,NaN
137,0.0,0.0,NaN
138,0.0,0.0,NaN
139,0.0,0.0,NaN
140,0.0,0.0,NaN
141,0.0,0.0,NaN
142,0.0,0.0,NaN
143,0.0,0.0,NaN
144,0.0,0.0,NaN
145,0.0,0.0,NaN
146,0.0,0.0,NaN
147,0.0,0.0,NaN
148,0.0,0.0,NaN
149,0.0,0.0,NaN
150,0.0,0.0,NaN
151,0.0,0.0,NaN
152,0.0,0.0,NaN
153,0.0,0.0,NaN
154,0.0,0.0,NaN
155,0.0,0.0,NaN
156,0.0,0.0,NaN
157,0.0,0.0,NaN
158,0.0,0.0,NaN
159,0.0,0.0,NaN
160,0.0,0.0,NaN
161,0.0,0.0,NaN
162,0.0,0.0,NaN
163,0.0,0.0,NaN
164,0.0,0.0,NaN
165,0.0,0.0,NaN
166,0.0,0.0,NaN
167,0.0,0.0,NaN
168,0.0,0.0,NaN
169,0.0,0.0,NaN
170,0.0,0.0,NaN
171,0.0,0.0,NaN
172,0.0,0.0,NaN
173,0.0,0.0,NaN
174,0.0,0.0,NaN
175,0.0,0.0,NaN
176,0.0,0.0,NaN
177,0.0,0.0,NaN
178,0.0,0.0,NaN
179,0.0,0.0,NaN
180,0.0,0.0,NaN
181,0.0,0.0,NaN
182,0.0,0.0,NaN
183,0.0,0.0,NaN
184,0.0,0.0,NaN
185,0.0,0.0,NaN
185,0.01,0.01,NaN
186,0.01,0.01,NaN
187,0.01,0.01,NaN
188,0.01,0.01,NaN
189,0.01,0.01,NaN
190,0.01,0.01,NaN
191,0.01,0.01,NaN
192,0.01,0.01,NaN
193,0.01,0.01,NaN
194,0.01,0.01,NaN
195,0.01,0.01,NaN
196,0.01,0.01,NaN
197,0.01,0.01,NaN
197,0.02,0.02,NaN
198,0.02,0.02,NaN
199,0.02,0.02,NaN
200,0.02,0.02,NaN
201,0.02,0.02,NaN
202,0.02,0.02,NaN
203,0.02,0.02,NaN
204,0.02,0.02,NaN
205,0.02,0.02,NaN
206,0.02,0.02,NaN
207,0.02,0.02,NaN
208,0.02,0.02,NaN
209,0.02,0.02,NaN
210,0.02,0.02,NaN
211,0.02,0.02,NaN
212,0.02,0.02,NaN
213,0.02,0.02,NaN
214,0.02,0.02,NaN
215,0.02,0.02,NaN
216,0.02,0.02,NaN
217,0.02,0.02,NaN
218,0.02,0.02,NaN
219,0.02,0.02,NaN
220,0.02,0.02,NaN
221,0.02,0.02,NaN
222,0.02,0.02,NaN
223,0.02,0.02,NaN
224,0.02,0.02,NaN
225,0.02,0.02,NaN
