,Temps(s),Nœuds complétés
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,0.0,0.0
105,0.0,0.0
106,0.0,0.0
107,0.0,0.0
108,0.0,0.0
109,0.0,0.0
110,0.0,0.0
111,0.0,0.0
112,0.0,0.0
113,0.0,0.0
114,0.0,0.0
115,0.0,0.0
116,0.0,0.0
117,0.0,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,0.0,0.0
152,0.0,0.0
153,0.0,0.0
154,0.0,0.0
155,0.0,0.0
156,0.0,0.0
157,0.0,0.0
158,0.0,0.0
159,0.0,0.0
160,0.0,0.0
161,0.0,0.0
162,0.0,0.0
163,0.0,0.0
164,0.0,0.0
165,0.0,0.0
166,0.0,0.0
167,0.0,0.0
168,0.0,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
193,0.0,0.0
194,0.0,0.0
195,0.0,0.0
196,0.0,0.0
197,0.0,0.0
198,0.0,0.0
199,0.0,0.0
200,0.0,0.0
201,0.0,0.0
202,0.0,0.0
203,0.0,0.0
204,0.0,0.0
205,0.0,0.0
206,0.0,0.0
207,0.0,0.0
208,0.0,0.0
209,0.0,0.0
210,0.0,0.0
211,0.0,0.0
212,0.0,0.0
213,0.0,0.0
214,0.0,0.0
215,0.0,0.0
216,0.0,0.0
217,0.0,0.0
218,0.0,0.0
219,0.0,0.0
220,0.0,0.0
221,0.0,0.0
222,0.0,0.0
223,0.0,0.0
224,0.0,0.0
225,0.0,0.0
226,0.0,0.0
227,0.0,0.0
228,0.0,0.0
229,0.0,0.0
230,0.0,0.0
231,0.0,0.0
232,0.0,0.0
233,0.0,0.0
234,0.0,0.0
235,0.0,0.0
236,0.0,0.0
237,0.0,0.0
238,0.0,0.0
239,0.0,0.0
240,0.0,0.0
241,0.0,0.0
242,0.0,0.0
243,0.0,0.0
244,0.0,0.0
245,0.0,0.0
246,0.0,0.0
247,0.0,0.0
248,0.0,0.0
249,0.0,0.0
250,0.0,0.0
251,0.0,0.0
252,0.0,0.0
253,0.0,0.0
254,0.01,0.01
255,0.01,0.01
256,0.01,0.01
257,0.01,0.01
258,0.01,0.01
259,0.01,0.01
260,0.01,0.01
261,0.01,0.01
262,0.01,0.01
263,0.01,0.01
264,0.01,0.01
265,0.01,0.01
266,0.01,0.01
267,0.01,0.01
268,0.01,0.01
269,0.01,0.01
270,0.02,0.02
271,0.03,0.03
272,0.03,0.03
273,0.03,0.03
274,0.03,0.03
275,0.03,0.03
276,0.03,0.03
277,0.03,0.03
278,0.03,0.03
279,0.03,0.03
280,0.03,0.03
281,0.03,0.03
282,0.03,0.03
283,0.03,0.03
284,0.03,0.03
285,0.03,0.03
286,0.03,0.03
287,0.03,0.03
288,0.04,0.04
289,0.04,0.04
290,0.04,0.04
291,0.04,0.04
292,0.04,0.04
293,0.04,0.04
294,0.04,0.04
295,0.04,0.04
296,0.04,0.04
297,0.04,0.04
298,0.04,0.04
299,0.04,0.04
300,0.05,0.05
301,0.05,0.05
302,0.05,0.05
303,0.05,0.05
304,0.05,0.05
305,0.05,0.05
306,0.05,0.05
307,0.05,0.05
308,0.05,0.05
309,0.06,0.06
310,0.06,0.06
311,0.06,0.06
312,0.06,0.06
313,0.06,0.06
314,0.06,0.06
315,0.06,0.06
316,0.06,0.06
317,0.06,0.06
318,0.06,0.06
319,0.06,0.06
320,0.07,0.07
321,0.07,0.07
322,0.07,0.07
323,0.08,0.08
324,0.08,0.08
325,0.08,0.08
326,0.08,0.08
327,0.08,0.08
328,0.09,0.09
329,0.09,0.09
330,0.1,0.1
331,0.1,0.1
332,0.1,0.1
333,0.1,0.1
334,0.1,0.1
335,0.11,0.11
336,0.11,0.11
337,0.11,0.11
338,0.11,0.11
339,0.11,0.11
340,0.11,0.11
341,0.11,0.11
342,0.12,0.12
343,0.12,0.12
344,0.12,0.12
345,0.13,0.13
346,0.13,0.13
347,0.13,0.13
348,0.13,0.13
349,0.15,0.15
350,0.15,0.15
351,0.16,0.16
352,0.16,0.16
353,0.16,0.16
354,0.16,0.16
355,0.16,0.16
356,0.16,0.16
357,0.17,0.17
358,0.17,0.17
359,0.17,0.17
360,0.17,0.17
361,0.17,0.17
362,0.18,0.18
363,0.18,0.18
364,0.18,0.18
365,0.18,0.18
366,0.18,0.18
367,0.18,0.18
368,0.18,0.18
369,0.19,0.19
370,0.2,0.2
371,0.2,0.2
372,0.2,0.2
373,0.2,0.2
374,0.22,0.22
375,0.23,0.23
376,0.24,0.24
377,0.24,0.24
378,0.24,0.24
379,0.24,0.24
380,0.24,0.24
381,0.25,0.25
382,0.25,0.25
383,0.25,0.25
384,0.26,0.26
385,0.26,0.26
386,0.26,0.26
387,0.27,0.27
388,0.29,0.29
389,0.29,0.29
390,0.29,0.29
391,0.3,0.3
392,0.3,0.3
393,0.3,0.3
394,0.3,0.3
395,0.3,0.3
396,0.3,0.3
397,0.3,0.3
398,0.3,0.3
399,0.3,0.3
400,0.3,0.3
401,0.3,0.3
402,0.3,0.3
403,0.3,0.3
404,0.3,0.3
405,0.3,0.3
406,0.3,0.3
407,0.3,0.3
408,0.3,0.3
409,0.3,0.3
410,0.3,0.3
411,0.3,0.3
412,0.31,0.31
413,0.31,0.31
414,0.31,0.31
415,0.32,0.32
416,0.33,0.33
417,0.33,0.33
418,0.33,0.33
419,0.34,0.34
420,0.34,0.34
421,0.34,0.34
422,0.34,0.34
423,0.34,0.34
424,0.34,0.34
425,0.34,0.34
