MaxAP,MaxChunks,Completion time
1,10.0,440.1
2,10.0,456.85
3,10.0,459.7
4,10.0,484.55
5,10.0,480.6
6,10.0,530.55
7,10.0,531.8
8,10.0,552.95
9,10.0,565.25
10,10.0,571.75
