<<<<<<< HEAD
MaxPar,EDWiN,AP seulement
9,855.4,1000
17,740.0,1000
33,595.4,1000
65,477.1,1000
=======
MaxPar,EDWiN,Wi-Fi seulement
5,867,1000
9,752,1000
11,695,1000
13,650,1000
17,582,1000
21,547,1000
25,496,1000
29,456,1000
33,425,1000
>>>>>>> 4e42c3dbe982a2b4c2e7adebb9e48e83024dfbcf
