Mauvais périphériques (%),Activité globale,Mauvais périphériques,Batterie minimale
10,6.848228635044628,78.29766916966881,93.32680843491413
20,8.093900214085393,80.36996080535508,97.81862602524576
30,7.437014385891361,81.15459513788555,97.94599331763159
40,8.689532525616697,83.07098055702117,97.65386720888401
